Location,Distance,Alt (ft),Azimuth ,Elevation,LatLon,Latitude Longitude
Frontline Defense - 1000yd,1000,258,188,-1.5,36.222285°N 78.051825°W,36.222285°N 78.051825°W
Frontline Defense - 1000yd COMP,1000,236,212,-0.93,36.221230°N 78.047684°W,36.221230°N 78.047684°W
Frontline Defense - 500yd,500,258,187,-1.5,36.222150°N 78.051194°W,36.222150°N 78.051194°W
Wake County Firearms Training - 100yd,100,300,72,0,35.677452°N 78.862343°W,35.677452°N 78.862343°W
Frontline Defense - rimfire,300,261,196,-1.3,36.221912°N 78.050950°W,36.221912°N 78.050950°W
,,,,,,
,,,,,,
,,,,,#REF!,
