Location,Distance,Alt (ft),Azimuth ,Elevation,LatLon,Latitude Longitude,Latitude,Longitude
Frontline Defense - 1000yd,1000.0,258.0,188.0,-1.5,36.222285°N 78.051825°W,36.222285°N 78.051825°W,36.222285,-78.051825
Frontline Defense - 1000yd COMP,1000.0,236.0,212.0,-0.93,36.221230°N 78.047684°W,36.221230°N 78.047684°W,36.22123,-78.047684
Frontline Defense - 500yd,500.0,258.0,187.0,-1.5,36.222150°N 78.051194°W,36.222150°N 78.051194°W,36.22215,-78.051194
Wake County Firearms Training - 100yd,100.0,300.0,72.0,0.0,35.677452°N 78.862343°W,35.677452°N 78.862343°W,35.677452,-78.862343
Frontline Defense - rimfire,300.0,261.0,196.0,-1.3,36.221912°N 78.050950°W,36.221912°N 78.050950°W,36.221912,-78.05095
