user_id,manufacturer,model,weight_grains,bullet_diameter_groove_mm,bore_diameter_land_mm,bullet_length_mm,ballistic_coefficient_g1,ballistic_coefficient_g7,sectional_density,min_req_twist_rate_in_per_rev,pref_twist_rate_in_per_rev,id,data_source_name,data_source_url
google-oauth2|114000366458094901083,Hornady,ELD-M,100.00,6.71,6.50,,0.385,0.194,0.205,,,d4a3c6aa-93e7-4af1-8d7f-2fbb3ec8a101,Hornady,https://www.hornady.com/bullets/rifle/6.5mm-.264-100-gr-eld-match
google-oauth2|114000366458094901083,Hornady,ELD-M,120.00,6.71,6.50,,0.486,0.245,0.246,9,9,7c2b6e67-3a7b-4e65-8c14-56b69e221102,Hornady,https://www.hornady.com/bullets/rifle/6.5mm-.264-120-gr-eld-match
google-oauth2|114000366458094901083,Hornady,ELD-M,123.00,6.71,6.50,,0.506,0.255,0.252,9,9,5a8e8a9c-b02e-4baf-8b58-3e274a6b4103,Hornady,https://www.hornady.com/bullets/rifle/6.5mm-.264-123-gr-eld-match
google-oauth2|114000366458094901083,Hornady,ELD-M,130.00,6.71,6.50,,0.554,0.279,0.266,9,9,a1dbb318-2b3f-48d3-84f0-0413e4299104,Hornady,https://www.hornady.com/bullets/rifle/6.5mm-.264-130-gr-eld-match
google-oauth2|114000366458094901083,Hornady,ELD-M,140.00,6.71,6.50,,0.646,0.326,0.287,8,8,3ff9adf9-3f6e-44ff-b6e4-86cb781d5105,Hornady,https://www.hornady.com/bullets/rifle/6-5mm-264-140-gr-eld-match
google-oauth2|114000366458094901083,Hornady,ELD-M,147.00,6.71,6.50,,0.697,0.351,0.301,8,8,e9a5cbb2-95e4-4b87-9ec9-7e47cda1f106,Hornady,https://www.hornady.com/bullets/rifle/6.5mm-.264-147-gr-eld-match
