id,user_id,manufacturer,model,weight_grains,bullet_diameter_groove_mm,bore_diameter_land_mm,bullet_length_mm,ballistic_coefficient_g1,ballistic_coefficient_g7,sectional_density,min_req_twist_rate_in_per_rev,pref_twist_rate_in_per_rev
1,google-oauth2|111273793361054745867,Hornady,ELD-M,123,6.71,6.5,33.4,0.506,0.255,0.252,8.0,8.0
2,google-oauth2|111273793361054745867,Hornady,ELD-M,130,6.71,6.5,35.6,0.552,0.277,0.267,8.0,8.0
3,google-oauth2|111273793361054745867,Hornady,ELD-M,140,6.71,6.5,38.6,0.646,0.326,0.287,8.0,8.0
4,google-oauth2|111273793361054745867,Hornady,ELD-M,147,6.71,6.5,39.4,0.697,0.351,0.302,8.0,8.0
