id,user_id,make,model,bullet_id
1,google-oauth2|111273793361054745867,Hornady,Match 6.5 Grendel 123 gr ELD Match,1
2,google-oauth2|111273793361054745867,Hornady,Match 6.5 Creedmoor 130 gr ELD Match,2
3,google-oauth2|111273793361054745867,Hornady,Match 6.5 Creedmoor 140 gr ELD Match,3
4,google-oauth2|111273793361054745867,Hornady,Match 6.5 Creedmoor 147 gr ELD Match,4
5,google-oauth2|111273793361054745867,Hornady,Match 6.5 PRC 140 gr ELD Match,3
6,google-oauth2|111273793361054745867,Hornady,Match 6.5 PRC 147 gr ELD Match,4
